Australian Bureau of Statistics

"2021 Census - cultural diversity"
"SA1 (UR) by AGE10P Age in Ten Year Groups"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"

"AGE10P Age in Ten Year Groups","0-9 years","10-19 years","20-29 years","30-39 years","40-49 years","50-59 years","60-69 years","70-79 years","80-89 years","90-99 years","100 years and over","Total",
"SA1 (UR)",
"10102100701",22,30,21,30,41,56,57,35,11,0,0,305,
"10102100702",23,25,27,28,31,53,57,43,17,6,0,301,
"10102100703",73,63,40,54,56,47,54,56,22,8,0,471,
"10102100704",44,39,25,58,51,70,81,93,52,10,0,522,
"10102100705",50,33,48,51,46,55,54,67,14,0,0,423,
"10102100706",42,24,23,35,25,38,58,31,7,0,0,290,
"10102100707",44,32,29,41,33,79,95,51,14,4,0,416,
"10102100708",70,68,35,53,89,103,123,70,24,6,0,643,
"10102100709",55,56,31,60,65,84,71,14,12,0,0,437,
"10102100710",41,47,19,44,64,111,123,81,12,0,0,541,
"10102100801",45,49,48,57,60,64,43,23,9,0,0,392,
"10102100802",74,62,63,72,76,76,77,57,20,5,0,574,
"10102100803",59,48,64,44,55,46,29,13,9,3,0,359,
"10102100804",62,47,68,71,60,52,35,29,6,0,0,427,
"10102100805",50,49,33,44,34,26,18,11,9,0,0,272,
"10102100806",54,47,49,69,49,34,62,35,8,0,0,408,
"10102100807",47,45,63,79,67,70,49,48,16,0,0,486,
"10102100808",63,77,65,87,48,62,54,32,17,0,0,508,
"10102100809",0,0,0,0,0,0,0,0,0,0,0,0,
"10102100810",26,37,31,26,27,51,39,7,4,0,0,249,
"10102100811",35,45,50,52,48,37,37,36,16,0,0,359,
"10102100812",46,33,37,31,38,46,27,9,3,0,0,270,
"10102100813",44,55,49,44,70,85,49,10,5,0,0,421,
"10102100814",51,36,86,78,55,86,85,28,10,4,0,515,
"10102100815",62,34,95,101,47,63,47,40,21,0,0,509,
"10102100816",55,67,59,73,59,48,60,20,23,0,0,460,
"10102100817",51,37,52,59,44,37,28,23,9,6,0,343,
"10102100818",29,50,41,42,54,29,29,22,10,3,0,310,
"10102100819",54,57,50,53,74,76,44,25,6,0,0,449,
"10102100820",51,44,32,49,29,28,35,22,5,0,0,296,
