Australian Bureau of Statistics

"2021 Census - cultural diversity"
"SA1 (UR) by 2-digit level ANCP Ancestry Multi Response"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"

"2-digit level ANCP Ancestry Multi Response","Chinese Asian","Total",
"SA1 (UR)",
"10201102801",0,0,
"10201102802",7,7,
"10201102803",5,5,
"10201102804",4,4,
"10201102805",0,0,
"10201102806",0,0,
"10201102807",6,6,
"10201102808",0,0,
"10201102809",0,0,
"10201102810",5,5,
"10201102811",5,5,
"10201102812",5,5,
"10201102813",0,0,
"10201102814",3,3,
"10201102815",0,0,
"10201102816",0,0,
"10201102817",5,5,
"10201102818",4,4,
"10201102901",17,17,
"10201102902",7,7,
"10201102903",15,15,
"10201102904",0,0,
"10201102905",9,9,
"10201102906",3,3,
"10201102907",0,0,
"10201102908",0,0,
"10201102909",11,11,
"10201102910",3,3,
"10201102911",8,8,
"10201102912",9,9,
"10201102913",3,3,
"10201102914",7,7,
"10201102915",9,9,
"10201102916",0,0,
"10201102917",3,3,
"10201102918",0,0,
"10201102919",7,7,
"10201102920",0,0,
"10201102921",0,0,
"10201102922",5,5,
"10201102923",3,3,
"10201102924",9,9,
"10201102925",4,4,
"10201102926",15,15,
"10201102927",6,6,
"10201102928",0,0,
"10201103002",3,3,
"10201103003",0,0,
"10201103004",4,4,
"10201103005",8,8,
"10201103006",11,11,
"10201103007",0,0,
"10201103008",3,3,
"10201103009",30,30,
"10201103010",0,0,
"10201103011",9,9,
"10201103012",10,10,
"10201103013",0,0,
"10201103014",16,16,
"10201103101",14,14,
"10201103102",10,10,
"10201103103",3,3,
"10201103104",7,7,
"10201103105",13,13,
"10201103106",5,5,
"10201103107",0,0,
"10201103108",0,0,
"10201103109",10,10,
"10201103110",18,18,
"10201103111",34,34,
"10201103112",0,0,
"10201103113",6,6,
"10201103114",12,12,
"10201103115",7,7,
"10201103116",5,5,
"10201103117",8,8,
"10201103118",14,14,
"10201103119",12,12,
"10201103120",5,5,
"10201103121",6,6,
"10201103122",17,17,
"10201103123",0,0,
"10201103124",9,9,
"10201103125",5,5,
"10201103126",7,7,
"10201103127",6,6,
"10201103128",11,11,
"10201103129",33,33,
"10201103130",25,25,
"10201103131",9,9,
"10201103132",0,0,
"10201103133",12,12,
"10201103134",14,14,
"10201103135",7,7,
"10201103136",3,3,
"10201103137",0,0,
"10201103138",13,13,
"10201103201",8,8,
"10201103202",0,0,
"10201103203",10,10,
"10201103204",32,32,
"10201103205",9,9,
"10201103206",0,0,
"10201103207",36,36,
"10201103208",31,31,
"10201103210",0,0,
"10201103211",6,6,
"10201103212",6,6,
"10201103213",4,4,
"10201103214",14,14,
"10201103215",11,11,
"10201103216",14,14,
"10201103217",0,0,
"10201103218",5,5,
"10201103219",10,10,
"10201103220",6,6,
"10201103221",12,12,
"10201103223",0,0,
"10201103224",42,42,
"10201103225",0,0,
"10201103226",15,15,
"10201103227",10,10,
"10201103228",27,27,
"10201103229",5,5,
"10201103230",11,11,
"10201103231",13,13,
"10201103232",0,0,
"10201103233",5,5,
"10201103234",29,29,
"10201103235",3,3,
"10201103236",15,15,
"10201103237",60,60,
"10201103238",10,10,
"10201103239",36,36,
"10201103240",12,12,
"10201103241",26,26,
"10201103242",16,16,
"10201103243",21,21,
"10201103244",24,24,
"10201103245",45,45,
"10201103246",9,9,
"10201103247",17,17,
"10201103248",30,30,
"10201103301",4,4,
"10201103302",5,5,
"10201103303",4,4,
"10201103304",3,3,
"10201103305",6,6,
"10201103306",4,4,
"10201103307",0,0,
"10201103308",20,20,
"10201103309",0,0,
"10201103310",7,7,
"10201103311",5,5,
"10201103312",7,7,
"10201103313",7,7,
"10201103314",9,9,
"10201103315",25,25,
"10201103316",0,0,
"10201103317",24,24,
"10201103318",3,3,
"10201103319",3,3,
"10201103320",0,0,
"10201103401",5,5,
"10201103402",4,4,
"10201103403",8,8,
"10201103404",4,4,
"10201103405",3,3,
"10201103406",0,0,
"10201103408",0,0,
"10201103409",0,0,
"10201103410",6,6,
"10201103411",0,0,
"10201103412",5,5,
"10201103413",0,0,
"10201103414",6,6,
"10201103415",0,0,
"10201103416",8,8,
"10201103417",6,6,
"10201103418",5,5,
"10201103419",0,0,
"10201103420",0,0,
"10201103501",18,18,
"10201103502",4,4,
"10201103503",15,15,
"10201103504",11,11,
"10201103505",19,19,
"10201103506",20,20,
"10201103507",11,11,
"10201103508",13,13,
"10201103509",5,5,
"10201103510",7,7,
"10201103511",11,11,
"10201103512",3,3,
"10201103513",3,3,
"10201103514",11,11,
"10201103515",5,5,
"10201103516",5,5,
"10201103517",13,13,
"10201103601",4,4,
"10201103602",0,0,
"10201103603",8,8,
"10201103604",3,3,
"10201103605",9,9,
"10201103606",5,5,
"10201103607",0,0,
"10201103608",3,3,
"10201103609",3,3,
"10201103610",9,9,
"10201103611",3,3,
"10201103612",0,0,
"10201103613",3,3,
"10201103614",9,9,
"10201103615",0,0,
"10201103616",4,4,
"10201103617",7,7,
"10201103618",10,10,
"10201103619",16,16,
"10201103620",9,9,
"10201103621",5,5,
"10201103622",4,4,
"10201103701",5,5,
"10201103702",13,13,
"10201103703",16,16,
"10201103704",3,3,
"10201103705",11,11,
"10201103706",4,4,
"10201103707",21,21,
"10201103708",11,11,
"10201103709",23,23,
"10201103710",3,3,
"10201103711",14,14,
"10201103712",13,13,
"10201103713",13,13,
"10201103714",23,23,
"10201103801",6,6,
"10201103802",7,7,
"10201103803",0,0,
"10201103804",0,0,
"10201103805",0,0,
"10201103806",0,0,
"10201103807",5,5,
"10201103808",0,0,
"10201103809",0,0,
"10201103810",10,10,
"10201103811",0,0,
"10201103812",3,3,
