Australian Bureau of Statistics,,,,,,,,,,,,
,,,,,,,,,,,,
2021 Census - cultural diversity,,,,,,,,,,,,
SA1 (UR) by 4-digit level BPLP Country of Birth of Person,,,,,,,,,,,,
Counting: Person Records,,,,,,,,,,,,
,,,,,,,,,,,,
Filters:,,,,,,,,,,,,
Default Summation,Person Records,,,,,,,,,,,
,,,,,,,,,,,,
4-digit level BPLP Country of Birth of Person,New Zealand,India,"United Kingdom, Channel Islands and Isle of Man, nfd",England,Isle of Man,Northern Ireland,Scotland,Wales,Guernsey,Jersey,Philippines,Total
SA1 (UR),,,,,,,,,,,,
10102100701,3,0,0,14,0,0,0,0,0,0,0,16
10102100702,0,0,0,9,0,0,0,4,0,0,0,16
10102100703,4,3,0,10,0,0,4,0,0,0,10,28
10102100704,10,0,0,32,0,0,0,0,0,0,0,45
10102100705,6,0,0,19,0,0,7,0,0,0,6,43
10102100706,10,0,0,5,0,3,3,0,0,0,0,21
10102100707,5,0,0,18,0,0,0,0,0,0,0,24
10102100708,18,0,0,23,0,0,0,3,0,0,3,46
10102100709,8,0,0,23,0,0,0,0,0,0,0,27
10102100710,8,0,0,21,0,0,0,0,0,0,0,35
10102100801,3,4,0,7,0,0,0,0,0,0,3,21
10102100802,9,3,0,22,0,0,0,0,0,0,0,39
10102100803,3,0,0,0,0,0,0,0,0,0,9,6
10102100804,0,24,0,0,0,0,0,0,0,0,4,33
10102100805,4,0,0,0,0,0,0,0,0,0,0,6
10102100806,3,8,0,0,0,0,0,0,0,0,8,19
10102100807,11,4,0,10,0,0,4,0,0,0,10,32
10102100808,9,12,4,4,0,0,0,0,0,0,7,35
10102100809,0,0,0,0,0,0,0,0,0,0,0,0
10102100810,0,0,0,6,0,0,0,0,0,0,0,11
10102100811,3,8,0,0,0,0,0,0,0,0,0,16
10102100812,8,12,0,11,0,0,0,0,0,0,0,29
10102100813,4,7,0,8,0,0,0,0,0,0,0,23
10102100814,3,4,0,17,0,0,3,0,0,0,5,35
10102100815,8,27,0,6,0,0,0,0,0,0,9,48
10102100816,9,7,0,4,0,0,0,0,0,0,3,21
10102100817,4,7,0,7,0,0,0,0,0,0,4,25
10102100818,7,6,0,10,0,0,0,0,0,0,8,30
10102100819,4,0,0,10,0,0,0,0,0,0,0,22
10102100820,6,0,0,3,0,0,0,0,0,0,0,10
10102100821,4,3,0,6,0,0,0,0,0,0,4,24
10102100822,3,3,0,3,0,0,0,0,0,0,3,6
10102100823,3,0,0,0,0,0,0,0,0,0,6,8
10102100901,5,0,0,6,0,0,0,0,0,0,6,21
10102100902,10,13,0,7,0,0,0,0,0,0,3,32
10102100904,4,3,0,10,0,0,0,0,0,0,6,16
10102100905,0,4,0,4,0,0,0,0,0,0,7,17
10102100907,16,49,0,13,0,0,0,0,0,0,12,89
10102100908,11,49,0,0,0,0,0,0,0,0,8,75
10102100909,5,61,0,10,0,0,0,0,0,0,24,99
10102100910,8,36,0,10,0,0,0,0,0,0,15,78
10102100911,10,19,0,13,0,0,0,0,0,0,12,52
10102100912,0,10,0,4,0,0,0,0,0,0,9,20
10102100913,11,5,0,11,0,0,5,0,0,0,11,39
10102100914,4,3,0,6,0,0,3,0,0,0,4,29
10102100915,11,41,0,7,0,0,0,0,0,0,23,88
10102100916,0,13,0,9,0,0,4,0,0,0,0,29
10102100917,8,5,0,4,0,0,0,0,0,0,0,21
10102100918,4,3,0,16,0,0,0,0,0,0,3,29
10102100919,22,27,0,10,0,0,0,0,0,0,9,72
10102100920,4,27,0,11,0,0,4,0,0,0,9,54
10102100921,12,33,0,9,0,0,0,0,0,0,16,67
10102100923,4,4,0,3,0,0,0,0,0,0,0,16
10102100924,0,0,0,0,0,0,0,0,0,0,0,0
10102100925,13,16,0,12,0,0,0,0,0,0,12,51
